?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/PHIPO_0001344>	"A growth phenotype which describes the absence of change of individuals or populations after exposure to triflumizole (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/GO_0006033>	"A process in which chitin is transported to, or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/GO_0006914>	"The cellular catabolic process in which cells digest cellular materials, such as organelles and other macromolecular constituents, or non-self materials such as intracellular pathogens. Autophagy serves to provide essential nutrients under conditions of cellular stress; or can remodel intracellular structures during cell differentiation."	"Reactome:R-HSA-9612973 Wikipedia:Autophagy_(cellular)"
<http://purl.obolibrary.org/obo/GO_0015833>	"The directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/CHEBI_64133>	"An EC 2.5.1.* (non-methyl-alkyl or aryl transferase) inhibitor that interferes with the action of protein farnesyltransferase (EC 2.5.1.58), one of the three enzymes in the prenyltransferase group."	"Wikipedia:Farnesyltransferase"
<http://purl.obolibrary.org/obo/CHEBI_23643>	"A natural or synthetic compound having a sequence of amino and hydroxy carboxylic acid residues (usually alpha-amino and alpha-hydroxy acids), commonly but not necessarily regularly alternating."	
<http://purl.obolibrary.org/obo/CHEBI_19129>		
<http://purl.obolibrary.org/obo/CHEBI_46845>		
<http://purl.obolibrary.org/obo/GO_0031965>	"Either of the lipid bilayers that surround the nucleus and form the nuclear envelope; excludes the intermembrane space."	"NIF_Subcellular:sao1687101204"
<http://purl.obolibrary.org/obo/CHEBI_35868>	"Any monocarboxylic acid which also contains a separate (alcoholic or phenolic) hydroxy substituent."	
<http://purl.obolibrary.org/obo/CHEBI_25750>	"Compounds of structure R2C=NOH derived from condensation of aldehydes or ketones with hydroxylamine. Oximes from aldehydes may be called aldoximes; those from ketones may be called ketoximes."	
<http://purl.obolibrary.org/obo/CHEBI_83399>	"Any metabolite produced by metabolism of a xenobiotic compound in marine macro- and microorganisms."	
<http://purl.obolibrary.org/obo/GO_0034305>	"Any process that modulates the frequency, rate or extent of spore formation from the products of mitosis."	
<http://purl.obolibrary.org/obo/PHIPO_0000667>	"A growth phenotype which describes the resistance of individuals or populations after exposure to cefotaxime. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000876>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to furazolidone. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000692>	"A growth phenotype which describes the resistance of individuals or populations after exposure to penicillin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_35720>	"A quinolinemonocarboxylic acid that is 1,4-dihydroquinoline-3-carboxylic acid substituted by an oxo group at position 4, a fluoro group at position 6, a cyclopropyl group at position 1 and a 4-ethylpiperazin-1-yl group at position 7. It is a veterinary antibacterial agent used for the treatment of pets."	"LINCS:LSM-3709 PMID:24380725 PMID:8828132 PMID:26963935 Patent:KR20130080422 PMID:19376344 VSDB:1762 Patent:US4659603 Wikipedia:Enrofloxacin Reaxys:5307824 PMID:15967281 Patent:RU2491922 KEGG:D02473 Drug_Central:1017 HMDB:HMDB0029861 CAS:93106-60-6"
<http://purl.obolibrary.org/obo/PHIPO_0001116>	"A pathogen host interaction phenotype that affects a host immune system signaling pathway during pathogen infection."	
<http://purl.obolibrary.org/obo/GO_0034762>	"Any process that modulates the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other."	
<http://purl.obolibrary.org/obo/CHEBI_26816>		
<http://purl.obolibrary.org/obo/PHIPO_0000004>	"A phenotype where the ability of a pathogen, to produce an infectious disease in another organism is unaffected (i.e the same as wild-type, it could be pathogenic or non-pathogenic)."	
<http://purl.obolibrary.org/obo/PHIPO_0000501>	"A single species cell phenotype in which the amount of deoxynivalenol measured in a cell is higher than normal."	
<http://purl.obolibrary.org/obo/CHEBI_33719>		
<http://purl.obolibrary.org/obo/CL_0000225>	"A cell that lacks a nucleus."	"FMA:68647"
<http://purl.obolibrary.org/obo/PHIPO_0000566>	"A growth phenotype which describes the resistance of individuals or populations after exposure to tridemorph. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000822>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to antimycin A. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000393>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to oxolinic acid. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_38304>		
<http://purl.obolibrary.org/obo/CHEBI_45979>	"A member of the class of benzimidazoles carrying a 1,3-thiazol-4-yl substituent at position 2. A mainly post-harvest fungicide used to control a wide range of diseases including Aspergillus, Botrytis, Cladosporium and Fusarium."	"CAS:148-79-8 PMID:23790859 PMID:9009055 PMID:11226373 PDBeChem:TMG DrugBank:DB00730 Wikipedia:Thiabendazole Reaxys:611403 VSDB:629 Pesticides:thiabendazole Patent:US3017415 PMID:13900465 PPDB:629 Drug_Central:2621 Beilstein:611403 KEGG:D00372 HMDB:HMDB0014868 LINCS:LSM-3741 MetaCyc:THIABENDAZOLE"
<http://purl.obolibrary.org/obo/CHEBI_37416>	"An EC 2.7.7.* (nucleotidyltransferase) inhibitor that interferes with the action of RNA polymerase (EC 2.7.7.6)."	"Wikipedia:RNA_polymerase"
<http://purl.obolibrary.org/obo/CHEBI_59864>	"Any drug used to depigment skin, normally by decreasing the excretion of melanin from melanocytes."	
<http://purl.obolibrary.org/obo/CHEBI_4167>	"A glucopyranose having D-configuration."	"KNApSAcK:C00001122 KEGG:D00009 PMID:26812026 GlyGen:G15021LG CAS:2280-44-6 PMID:9501190 Wikipedia:Glucose PMID:32619908 GlyTouCan:G15021LG PMID:9545565 PMID:7524207 PMID:15987845 PMID:17928662 Gmelin:83256 PMID:19913595 PMID:17439666 PMID:9140037 PMID:16901854 HMDB:HMDB0000122 Reaxys:1281604 PMID:9506998 KEGG:C00031 PMID:17336832 MetaCyc:D-Glucose"
<http://purl.obolibrary.org/obo/CHEBI_7934>	"An amino cyclitol glycoside that is the 1-O-(2-amino-2-deoxy-alpha-D-glucopyranoside) and the 3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-beta-D-ribofuranoside of 4,6-diamino-2,3-dihydroxycyclohexane (the 1R,2R,3S,4R,6S diastereoisomer). It is obtained from various Streptomyces species. A broad-spectrum antibiotic, it is used (generally as the sulfate salt) for the treatment of acute and chronic intestinal protozoal infections, but is not effective for extraintestinal protozoal infections. It is also used as a therapeutic against visceral leishmaniasis."	"KEGG:C00832 PMID:8036682 Reaxys:72285 PMID:18947845 PMID:18447603 Patent:US2895876 PDBeChem:PAR CAS:7542-37-2 Patent:US2916485 KEGG:D07467 DrugBank:DB01421 Drug_Central:2067"
<http://purl.obolibrary.org/obo/CHEBI_28864>	"A amino cyclitol glycoside that is kanamycin B lacking the 3-hydroxy substituent from the 2,6-diaminoglucose ring."	"PMID:21438171 PMID:14961139 PMID:16205136 PMID:11000679 PMID:19465435 PMID:20938669 PMID:11478352 PMID:16650821 PMID:11459219 CAS:32986-56-4 PMID:21530479 PMID:19072156 PMID:15813341 PMID:17150225 PMID:21726492 PMID:21275493 PMID:21796931 PMID:21429824 PMID:21357290 Reaxys:1357507 PMID:20000576 PMID:21343445 Drug_Central:2684 PMID:21592592 PMID:20884302 PMID:16239129 PMID:21815282 PMID:16478137 KEGG:D00063 DrugBank:DB00684 PMID:19340717 PMID:21414310 PMID:19220547 PDBeChem:TOY PMID:21396748 Wikipedia:Tobramycin PMID:21756818 KEGG:C00397 LINCS:LSM-6534 PMID:18331849 PMID:11072877"
<http://purl.obolibrary.org/obo/PHIPO_0001387>	"A growth phenotype which describes the absence of change of individuals or populations after exposure to phenamacril (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/CHEBI_83758>	"An  epoxide that is oxirane substituted by a 2-chlorophenyl, 4-fluorophenyl and a 1H-1,2,4-triazol-1-ylmethyl groups."	
<http://purl.obolibrary.org/obo/CHEBI_32867>	"An optically active form of prolinate having D-configuration."	"Gmelin:533350"
<http://purl.obolibrary.org/obo/PHIPO_0000328>	"A cellular process phenotype in which any process of cellular component organization at the cellular level is normal (i.e. indistinguishable from wild type)."	"FYPO:0006003"
<http://purl.obolibrary.org/obo/PATO_0000033>	"A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance."	
<http://purl.obolibrary.org/obo/GO_0045229>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell."	
<http://purl.obolibrary.org/obo/CHEBI_64459>	"An organic aromatic compound whose structure contains two aromatic rings or ring systems, joined to each other by a single bond."	
<http://purl.obolibrary.org/obo/PHIPO_0000678>	"A growth phenotype which describes the resistance of individuals or populations after exposure to paromomycin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0007134>	"The cell cycle phase which follows anaphase I of meiosis and during which the chromosomes arrive at the poles of the cell and the division of the cytoplasm starts."	
<http://purl.obolibrary.org/obo/PHIPO_0000154>	"A single organism (molecular function??) phenotype in which RNA binding by a gene product does not occur, when a gene or the bound RNA sequence is mutated. The affected gene product may be encoded by the mutated gene, or by a different gene."	"FYPO:0002133"
<http://purl.obolibrary.org/obo/GO_0033036>	"Any process in which a macromolecule is transported to, or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/PHIPO_0000754>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to leptomycin B. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_26912>	"Any oxacycle having an oxolane (tetrahydrofuran) skeleton."	
<http://purl.obolibrary.org/obo/CHEBI_46844>		
<http://purl.obolibrary.org/obo/PHIPO_0000805>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to colistin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_87134>	"Any morpholine antifungal agent used as a fungicide."	
<http://purl.obolibrary.org/obo/CHEBI_26151>		
<http://purl.obolibrary.org/obo/CHEBI_24396>	"Any carbohydrate derivative that consists of glycan moieties covalently attached to the side chains of the amino acid residues that constitute the peptide."	
<http://purl.obolibrary.org/obo/GO_1903008>	"The disaggregation of an organelle into its constituent components."	
<http://purl.obolibrary.org/obo/CHEBI_59644>	"Any fatty acid containing at least one aldehydic or ketonic group in addition to the carboxylic acid group."	"PMID:8638935 PMID:6434570 PMID:8454196"
<http://purl.obolibrary.org/obo/PHIPO_0000234>	"A pathogen host interaction phenotype, in which the pathogen produced deoxynivalenol usually present during infection is absent or at a level too low to detect."	
<http://purl.obolibrary.org/obo/PHIPO_0000967>	"A single species pathogen penetration phenotype in in which the ability of the pathogen to  penetrate a given experimental substance/membrane is abolished."	
<http://purl.obolibrary.org/obo/CHEBI_33822>	"An organic compound having at least one hydroxy group attached to a carbon atom."	
<http://purl.obolibrary.org/obo/CHEBI_77747>	"An EC 3.6.3.* (acid anhydride hydrolase catalysing transmembrane movement of substances) inhibitor that interferes with the action of phospholipid-translocating ATPase (EC 3.6.3.1)."	"Wikipedia:Phospholipid-translocating_ATPase"
<http://purl.obolibrary.org/obo/CHEBI_25105>	"A macrocyclic lactone with a ring of twelve or more members which exhibits antibiotic activity."	
<http://purl.obolibrary.org/obo/PHIPO_0000659>	"A growth phenotype which describes the resistance of individuals or populations after exposure to gentamicin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_51683>	"Any aromatic ether that consists of a benzene skeleton substituted with one or more methoxy groups."	
<http://purl.obolibrary.org/obo/PHIPO_0000047>	"A single species phenotype where the asexual reproduction process in which new individuals are produced by either a single cell or a group of cells, in the absence of any sexual process is abnormal (GO:0019954)."	
<http://purl.obolibrary.org/obo/PHIPO_0000190>	"A phenotype where the process of host tissue cell death causing a host lesion is induced by the host activating its own hypersensitive response in defense is delayed."	
<http://purl.obolibrary.org/obo/PHIPO_0000896>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to spiroxamine. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000401>		
<http://purl.obolibrary.org/obo/GO_0010324>	"The infolding of a membrane."	
<http://purl.obolibrary.org/obo/CHEBI_27283>	"A fatty acid which has a chain length greater than C22. Very long-chain fatty acids which have a chain length greater than C27 are also known as ultra-long-chain fatty acids."	"LIPID_MAPS_instance:LMFA01010025"
<http://purl.obolibrary.org/obo/CHEBI_133011>	"A zwitterion obtained by transfer of a proton from the 2-hydroxy group to the adjacent tertiary amino group of oxytetracycline; major species at pH 7.3."	"MetaCyc:CPD-19255"
<http://purl.obolibrary.org/obo/PHIPO_0000944>	"A single species cell phenotype in which the amount of a specific substance measured in a cell differs from normal."	"FYPO:0000989"
<http://purl.obolibrary.org/obo/PATO_0001163>	"A concentration which is lower relative to the normal or average."	
<http://purl.obolibrary.org/obo/PHIPO_0001405>	"A growth phenotype which describes the resistance of individuals or populations after exposure to dimethomorph. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001166>	"A host reproductive phenotype with pathogen where the process of host seed development is absent (GO:0048316)."	
<http://purl.obolibrary.org/obo/CHEBI_16150>	"The simplest member of the class of  benzoates that is the conjugate base of benzoic acid, comprising a benzoic acid core with a proton missing to give a charge of -1."	"Reaxys:1862486 CAS:766-76-7 KEGG:C00180 MetaCyc:BENZOATE HMDB:HMDB0001870 UM-BBD_compID:c0121 Gmelin:2945"
<http://purl.obolibrary.org/obo/CHEBI_55370>	"An imidazolidine containing one or more oxo groups."	
<http://purl.obolibrary.org/obo/CHEBI_68452>	"Any monocyclic heteroarene consisting of a five-membered ring containing nitrogen. Azoles can also contain one or more other non-carbon atoms, such as nitrogen, sulfur or oxygen."	"Wikipedia:Azole"
<http://purl.obolibrary.org/obo/CHEBI_52090>	"An organic anion that is the conjugate base of methanol."	"Reaxys:1839368"
<http://purl.obolibrary.org/obo/PHIPO_0000450>	"A single species molecular function phenotype in which the observed rate of a peptidase activity is normal (i.e. indistinguishable from wild type)."	"FYPO:0000665"
<http://purl.obolibrary.org/obo/CHEBI_34997>	"A teicoplanin A2 that has 8-methyldecanoyl as the variable N-acyl group."	"KEGG:C13610 Reaxys:6261978 CAS:91032-37-0"
<http://purl.obolibrary.org/obo/PHIPO_0001044>	"A cell phenotype in which the amount of protein measured in a pathogen or host cell is too low to detect. Total protein or a specific protein may be affected."	"FYPO:0001983"
<http://purl.obolibrary.org/obo/CHEBI_77906>	"A zwitterion obtained by transfer of a proton from the 2-hydroxy group to the 1-amino group of minocycline. It is the major microspecies at pH 7.3 (according to Marvin v 6.2.0.)."	
<http://purl.obolibrary.org/obo/PHIPO_0000427>	"A molecular function phenotype in which the binding of pathogen chitin to host chitinase is present."	
<http://purl.obolibrary.org/obo/PHIPO_0000831>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to triadimefon. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000796>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to tunicamycin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_2762>	"A nine-membered bis-lactone having methyl substituents at the 2- and 6-positions, an n-hexyl substituent at the 8-position, an acyloxy substituent at the 7-position and an aroylamido substituent at the 3-position. It is produced by Streptomyces bacteria and has found commercial use as a fish poison."	"KEGG:C11339 PMID:32662599 PMID:31079230 PMID:30914247 PMID:16819166 PDBeChem:AY1 PMID:29790043 CAS:1397-94-0 MetaCyc:CPD-5744 Beilstein:72665 CAS:642-15-9"
<http://purl.obolibrary.org/obo/CHEBI_36233>	"A compound in which two monosaccharides are joined by a glycosidic bond."	"KEGG:C01911"
<http://purl.obolibrary.org/obo/CHEBI_5530>		"CAS:113-73-5 KEGG:C11218"
<http://purl.obolibrary.org/obo/PATO_0001241>	"A quality which inheres in a continuant."	"snap:Quality"
<http://purl.obolibrary.org/obo/PHIPO_0001362>	"A growth phenotype which describes the resistance of individuals or populations after exposure to isopyrazam. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_43254>		
<http://purl.obolibrary.org/obo/CHEBI_35223>	"A substance that increases the rate of a reaction without modifying the overall standard Gibbs energy change in the reaction."	
<http://purl.obolibrary.org/obo/PHIPO_0000818>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to salicylhydroxamic acid. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0034248>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving amides."	
<http://purl.obolibrary.org/obo/PHIPO_0001126>	"A growth phenotype which describes the decrease in growth of individuals or populations relative to normal in a medium containing palmitic acid as the carbon source."	
<http://purl.obolibrary.org/obo/PHIPO_0000133>	"A single species molecular function phenotype in which the binding of one protein to another is abnormal. The relevant proteins may include the one encoded by the mutated gene, or may both be encoded by different genes."	"FYPO:0000704"
<http://purl.obolibrary.org/obo/PHIPO_0001017>	"A single species phenotype where the slender tubular outgrowth first produced by most spores in germination is longer than normal. (GO:0032179)"	
<http://purl.obolibrary.org/obo/PHIPO_0000871>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to erythromycin A. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0051656>	"The directed movement of an organelle to a specific location."	
<http://purl.obolibrary.org/obo/PHIPO_0001325>	"A growth phenotype which describes the absence of change of individuals or populations after exposure to tebuconazole (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/CHEBI_140326>	"A carboxamide resulting from the formal condensation of a carboxylic acid with a secondary amine; formula RC(=O)NHR(1)R(2)."	
<http://purl.obolibrary.org/obo/PHIPO_0000935>	"A cellular process phenotype in which the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cell wall is decreased."	
<http://purl.obolibrary.org/obo/PHIPO_0001029>	"A single organism phenotype in which the localization of a protein to the plasma membrane is abolished, and the protein is present in the cytoplasm instead."	"FYPO:0002126"
<http://purl.obolibrary.org/obo/CHEBI_76932>	"An enzyme inhibitor that interferes with one or more steps in a metabolic pathway."	
<http://purl.obolibrary.org/obo/GO_0098590>	"A membrane that is a (regional) part of the plasma membrane."	
<http://purl.obolibrary.org/obo/PHIPO_0000866>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to hymexazol. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_26421>	"Any organonitrogen heterocyclic compound based on a pyridine skeleton and its substituted derivatives."	
<http://purl.obolibrary.org/obo/CHEBI_8489>	"The cyclic ketal obtained by formal condensation of 1-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-yl)ethanone with pentane-1,2-diol. A triazole fungicide, it is used commercially as a diastereoisomeric mixture on soft fruit (including apricots, peaches, nectarines, plums and prunes), nuts (including peanuts, pecans and almonds), mushrooms, and grasses grown for seeds."	"PPDB:551 MetaCyc:CPD-14540 PMID:19128860 Wikipedia:Propiconazole Patent:DE2551560 Patent:US4079062 KEGG:C11121 CAS:75881-82-2 Reaxys:841361 CAS:60207-90-1 Pesticides:propiconazole"
<http://purl.obolibrary.org/obo/CHEBI_53628>	"An alpha-D-glucoside deoxygenated at C-2 and C-6."	
<http://purl.obolibrary.org/obo/CHEBI_51354>		"Beilstein:3915298"
<http://purl.obolibrary.org/obo/PHIPO_0000467>	"A single species phenotype where the immune system process of host tissue hypersensitive response is present in a pathogen effector-independant manner. (i.e. an alteration within the host is responsible for the activation of the hypersensitive response in the absence of a pathogen)."	
<http://purl.obolibrary.org/obo/CHEBI_83750>	"The (2S,3S)-stereoisomer of 2-(4-chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol."	
<http://purl.obolibrary.org/obo/CHEBI_24062>		
<http://purl.obolibrary.org/obo/GO_0009059>	"The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."	
<http://purl.obolibrary.org/obo/PHIPO_0000445>	"A phenotype that affects the process of host tissue death causing a host lesion induced by either the pathogen directly killing host tissue (e.g. cell wall degradation), or the host activating its own cell death pathways in defense."	
<http://purl.obolibrary.org/obo/CHEBI_50904>	"A chemical compound, or part thereof, which causes the onset of an allergic reaction by interacting with any of the molecular pathways involved in an allergy."	"Wikipedia:Allergen"
<http://purl.obolibrary.org/obo/PHIPO_0000182>	"A phenotype where the process of host tissue cell death causing a host lesion is induced by the host activating its own hypersensitive response in defense, is absent."	
<http://purl.obolibrary.org/obo/PHIPO_0000255>	"A pathogen host interaction (cell process???) phenotype that affects a transport process."	"FYPO:0000149"
<http://purl.obolibrary.org/obo/GO_0051049>	"Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/PHIPO_0001221>	"A physical anatomical structure phenotype in which the amount, distribution, morphology, or other physical characteristic of a cell part, cell, or tissue, or individual is abnormal in the vegetative growth phase of the life cycle."	
<http://purl.obolibrary.org/obo/CHEBI_25704>	"Compounds of the general formula SO3HOR where R is an organyl group"	
<http://purl.obolibrary.org/obo/CHEBI_83732>	"A member of the class of oxazolidinones that is 5-ethenyl-5-methyl-2,4-oxazolidinedione in which the imide hydrogen is replaced by a 3,5-dichlorophenyl group."	"PPDB:680"
<http://purl.obolibrary.org/obo/PATO_0002304>	"A quality of a process that has a value that is increased compared to normal or average."	
<http://purl.obolibrary.org/obo/CHEBI_47985>	"Ethers ROR' where R has a double bond adjacent to the oxygen of the ether linkage."	
<http://purl.obolibrary.org/obo/CHEBI_53657>	"A cephalosporin carboxylic acid anion having [(5-methyl-1,3,4-thiadiazol-2-yl)sulfanyl]methyl and (1H-tetrazol-1-ylacetyl)amino side-groups, formed by proton loss from the carboxy group of cefazolin."	"Beilstein:4241223"
<http://purl.obolibrary.org/obo/PHIPO_0000825>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to tebuconazole. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001198>	"A pathogen host interaction phenotype that affects the disease outcome of a pathogen host interaction."	
<http://purl.obolibrary.org/obo/CHEBI_78433>	"A substance used in a thermodynamic heat pump cycle or refrigeration cycle that undergoes a phase change from a gas to a liquid and back. Refrigerants are used in air-conditioning systems and freezers or refrigerators and are assigned a \"R\" number (by ASHRAE - formerly the American Society of Heating, Refrigerating and Air Conditioning Engineers), which is determined systematically according to their molecular structure."	"Wikipedia:Refrigerant"
<http://purl.obolibrary.org/obo/CHEBI_24061>		"WebElements:F CAS:7782-41-4"
<http://purl.obolibrary.org/obo/CHEBI_59780>	"A hemiacetal  having the structure R2C(OH)OR (R =/= H), derived from a ketone by formal addition of an alcohol to the carbonyl group. The term 'cyclic hemiketals', once abandoned by IUPAC, has been reinstated as a subclass of hemiacetals."	
<http://purl.obolibrary.org/obo/PHIPO_0001429>	"A growth phenotype which describes the absence of change of individuals or populations after exposure to fluconazole (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/CHEBI_18257>	"An alpha-amino acid that is pentanoic acid bearing two amino substituents at positions 2 and 5."	"KEGG:C01602 Reaxys:1722296 KNApSAcK:C00001384 PMID:15449570 PMID:22264337 CAS:616-07-9 Gmelin:847696 PMID:17190852"
<http://purl.obolibrary.org/obo/GO_0099738>	"The complete extent of cell cortex that underlies some some region of the plasma membrane."	
<http://purl.obolibrary.org/obo/CHEBI_37699>	"An EC 2.7.* (P-containing group transferase) inhibitor that interferes with the action of protein kinases."	
<http://purl.obolibrary.org/obo/PHIPO_0000382>	"A growth phenotype which describes the resistance of individuals or populations after exposure to diethofencarb. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_75606>	"A carboxamide that is a hydroxamic acid in which the hydrogen of the hydroxy group is replaced by an organyl group."	
<http://purl.obolibrary.org/obo/PHIPO_0000858>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to bifonazole. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0008104>	"Any process in which a protein is transported to, or maintained in, a specific location."	"Reactome:R-HSA-9609507"
<http://purl.obolibrary.org/obo/CHEBI_30802>	"A benzenedicarboxylic acid that is benzene substituted by carboxy groups at position 1 and 3. One of three possible isomers of benzenedicarboxylic acid, the others being phthalic and terephthalic acids."	"Reaxys:1909332 MetaCyc:CPD0-1267 Gmelin:27618 CAS:121-91-5 Wikipedia:Isophthalic_acid PMID:24101250"
<http://purl.obolibrary.org/obo/PHIPO_0001138>	"A single species phenotype where the frequency of occurrence of asexual reproductive structures is decreased."	
<http://purl.obolibrary.org/obo/PATO_0001236>	"A quality which inheres in an process."	
<http://purl.obolibrary.org/obo/CHEBI_33597>	"A cyclic compound having as ring members atoms of the same element only."	
<http://purl.obolibrary.org/obo/CHEBI_18310>	"An acyclic branched or unbranched hydrocarbon having the general formula CnH2n+2, and therefore consisting entirely of hydrogen atoms and saturated carbon atoms."	"KEGG:C01371"
<http://purl.obolibrary.org/obo/CHEBI_36961>		
<http://purl.obolibrary.org/obo/CHEBI_38584>	"A difluorobenzene carrying fluoro groups at positions 1 and 3."	"Gmelin:200891 PMID:15535712 Reaxys:1904537 CAS:372-18-9 Patent:CN101607874 Patent:CN1765887 PMID:22707282 Patent:CN1634895"
<http://purl.obolibrary.org/obo/CHEBI_24852>	"Strictly, a substance intended to kill members of the class Insecta.  In common usage, any substance used for preventing, destroying, repelling or controlling insects."	"Wikipedia:Insecticide"
<http://purl.obolibrary.org/obo/CHEBI_33670>		
<http://purl.obolibrary.org/obo/PATO_0001555>	"The number of parts of a particular type that the bearer entity has. This is a relational quality, and thus holds between two entities: the bearer of the quality, and the type of parts."	"OBO_REL:has_part"
<http://purl.obolibrary.org/obo/PHIPO_0001323>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to flumorph. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
