?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/PHIPO_0000341>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete gain of pathogen cell to cell migration within host"	
<http://purl.obolibrary.org/obo/PHIPO_0000572>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to bleomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000720>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to brefeldin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000607>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to flutriafol"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000838>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to diniconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001088>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased rate of hyphae formation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000943>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to hydrogen peroxide"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000781>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to trimethoprim"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001137>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased number of hyphal septa"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000198>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction transporter phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000050>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased number of sexual spores"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001219>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal growth on voriconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000550>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to ampicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001250>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal host structure induced by pathogen"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000816>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to prothionamide"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000712>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cefazolin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000049>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased number of sexual spores"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001123>	<http://www.w3.org/2000/01/rdf-schema#label>	"viable population"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000080>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal asexual sporulation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000184>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen adhesion to host phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000733>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to cefaclor"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000964>	<http://www.w3.org/2000/01/rdf-schema#label>	"loss of virulence"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000205>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased aerial height of filament"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001263>	<http://www.w3.org/2000/01/rdf-schema#label>	"host defense-induced RNA level phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000956>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal asexual spore germination frequency"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000112>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete non-functional penetration structure present"	
<http://purl.obolibrary.org/obo/PHIPO_0000502>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete decreased level of deoxynivalenol"	
<http://purl.obolibrary.org/obo/PHIPO_0000340>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished pathogen cell to cell migration within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000571>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to leptomycin B"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000563>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to furazolidone"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000829>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to paromomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000780>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to epoxyconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000867>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to streptomycin sulfate"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001136>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished development of asexual reproductive structure"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000860>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to ertapenem"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000197>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host protein protein interaction"	
<http://purl.obolibrary.org/obo/PHIPO_0000332>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen colonization of host phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000370>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen penetration structure absent when near host"	
<http://purl.obolibrary.org/obo/PHIPO_0001032>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of pyocyanin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000093>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal parthenogenesis"	
<http://purl.obolibrary.org/obo/PHIPO_0000859>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to micafungin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000711>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to camptothecin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000675>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to itraconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000892>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to boscalid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001017>	<http://www.w3.org/2000/01/rdf-schema#label>	"long germ tube"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001248>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen modulation of chitin hydrolysis by host present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000972>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished protein localization to autophagosome"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000078>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal asexual sporulation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000213>	<http://www.w3.org/2000/01/rdf-schema#label>	"host chlorosis absent in presence of pathogen"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000444>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased number of asexual pathogen spores within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001166>	<http://www.w3.org/2000/01/rdf-schema#label>	"absence of host seed development induced by pathogen"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000430>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbohydrate binding phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000189>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete altered pathogen host interaction DNA binding specificity"	
<http://purl.obolibrary.org/obo/PHIPO_0000661>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to sulfisoxazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000510>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen host interaction cell phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000741>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to difenoconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000845>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to meropenem"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001009>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal vesicle-mediated transport during vegetative growth"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001152>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased host membrane blebbing during pathogen invasion"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001226>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of host defense-induced reducing sugar in apoplast"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000298>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal dissemination of pathogen asexual product"	
<http://purl.obolibrary.org/obo/PHIPO_0000688>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to amphotericin B"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000985>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased extent of pathogen-associated host lesions"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001179>	<http://www.w3.org/2000/01/rdf-schema#label>	"infective ability phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000056>	<http://www.w3.org/2000/01/rdf-schema#label>	"premature sexual sporulation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000592>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to fludioxonil"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000619>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to farnesol"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000858>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to bifonazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000674>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to chlortetracycline"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000754>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to leptomycin B"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000226>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction secondary metabolite biosynthetic process phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0001061>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased RNA level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000971>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished formation of autophagosomes"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000212>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased pathogen host protein-protein interaction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000443>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen sexual reproduction within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001165>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal host seed development induced by pathogen"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001239>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen inhibition of host defense induced alkalization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000523>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to sordarin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000361>	<http://www.w3.org/2000/01/rdf-schema#label>	"delayed pathogen penetration into host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001270>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to calcium ion starvation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000740>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to oxacillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000635>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to closantel"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000473>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of pathogen asexual spores within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001008>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal transport during vegetative growth"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000739>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to latrunculin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000690>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to novobiocin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001046>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased level of pathogen produced toxin within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000069>	<http://www.w3.org/2000/01/rdf-schema#label>	"sexual spores decreased in size"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001157>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete unaltered pathogen reactive oxygen species production within host"	
<http://purl.obolibrary.org/obo/PHIPO_0000242>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction protein complex localization"	
<http://purl.obolibrary.org/obo/PHIPO_0001195>	<http://www.w3.org/2000/01/rdf-schema#label>	"inhibition of pathogen chorismate mutase by host present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000118>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased pathogen growth after penetration of the barrier"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001269>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased number of host galls during pathogen invasion"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000346>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete host necrotic lesion with pathogen phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000577>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to nikkomycin Z"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000404>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal cell phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000682>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to propiconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000621>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to gatifloxacin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001173>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen modulation of host process phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000871>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to erythromycin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001038>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal level of substance in cell"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000104>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased size of penetration structure"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001255>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased host immune inflammatory response with pathogen"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000099>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal meiosis I"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001024>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased cellular cAMP level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000648>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to miltefosine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000879>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to itraconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000802>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to vancomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000085>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete decreased asexual spore motility"	
<http://purl.obolibrary.org/obo/PHIPO_0001059>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased level of pyocyanin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000417>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction pathogen carbohydrate binding phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000255>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction transport phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000634>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to tricyclazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000472>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen asexual sporulation within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000695>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to clarithromycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001194>	<http://www.w3.org/2000/01/rdf-schema#label>	"inhibition of pathogen chorismate mutase by host absent"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000241>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal protein complex localization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000359>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased pathogen penetration into host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000117>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased pathogen growth after penetration of the barrier"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000999>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal pathogen morphology during colonization of host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001268>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of host gall during pathogen invasion"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001186>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete functional host resistance gene present"	
<http://purl.obolibrary.org/obo/PHIPO_0000390>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to diethofencarb"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000389>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to iprodione"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000464>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete host necrotic cell death phenotype in response to pathogen"	
<http://purl.obolibrary.org/obo/PHIPO_0000013>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal virulence"	
<http://purl.obolibrary.org/obo/PHIPO_0000403>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal cell phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000768>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to thiabendazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000626>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to prothionamide"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000375>	<http://www.w3.org/2000/01/rdf-schema#label>	"delayed timing of pathogen penetration structure formation when near host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001037>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased cellular toxin level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001075>	<http://www.w3.org/2000/01/rdf-schema#label>	"auxotrophic growth"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000098>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal meiosis II"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000271>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal protein localization to nucleus"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000598>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to pyrimethanil"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000147>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished DNA binding"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000537>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to captan"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000642>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to plumbagin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000873>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to rapamycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000306>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal effector of virulence"	
<http://purl.obolibrary.org/obo/PHIPO_0001067>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction organism level phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000977>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to sodium dodecyl sulfate"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000133>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal protein-protein interaction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001053>	<http://www.w3.org/2000/01/rdf-schema#label>	"hyper-rugose unicellular colony shape"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000367>	<http://www.w3.org/2000/01/rdf-schema#label>	"premature pathogen growth within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000529>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to virginiamycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000480>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of pathogen-associated host lesions"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000125>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen growth post penetration present"	
<http://purl.obolibrary.org/obo/PHIPO_0000520>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to florfenicol"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000600>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to capreomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000831>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to triadimefon"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000284>	<http://www.w3.org/2000/01/rdf-schema#label>	"pigment phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000388>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to azoxystrobin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001212>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased hyphal growth"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000990>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete absence of pathogen protein with host"	
<http://purl.obolibrary.org/obo/PHIPO_0000886>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to amoxicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000042>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal motility phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000319>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete decreased effector of virulence suppression of host defense"	
<http://purl.obolibrary.org/obo/PHIPO_0000270>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen protein and host protein colocalization within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000597>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to polymyxin B1"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000146>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal DNA binding"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000424>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased carbohydrate binding"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000655>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to salicylhydroxamic acid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000493>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary metabolic process phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000872>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to copper"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000759>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to myriocin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000269>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal protein localization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000027>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen growth after penetration of the barrier"	
<http://purl.obolibrary.org/obo/PHIPO_0001115>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased phosphopantetheinyl transferase activity"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000262>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction endocytosis"	
<http://purl.obolibrary.org/obo/PHIPO_0000929>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal cellular process"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000138>	<http://www.w3.org/2000/01/rdf-schema#label>	"altered protein binding specificity"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001101>	<http://www.w3.org/2000/01/rdf-schema#label>	"absence of pathogen asexual sporulation structures within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000176>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete increased pathogen host interaction RNA binding"	
<http://purl.obolibrary.org/obo/PHIPO_0001096>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to stress"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000162>	<http://www.w3.org/2000/01/rdf-schema#label>	"unicellular population growth phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000478>	<http://www.w3.org/2000/01/rdf-schema#label>	"lipid droplet phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000558>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to benzylpenicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000789>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to telithromycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000775>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to flucytosine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000247>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished pathogen protein localization to host nucleus"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000327>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cyproconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000396>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to azoxystrobin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000154>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished RNA binding"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"inviable cell"	
<http://purl.obolibrary.org/obo/PHIPO_0000409>	<http://www.w3.org/2000/01/rdf-schema#label>	"transporter activity phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000772>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to cefotetan"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogenicity"	
<http://purl.obolibrary.org/obo/PHIPO_0000934>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal nucleus"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001241>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased chitinase activity"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001010>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal vesicle-mediated transport during vegetative growth"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001128>	<http://www.w3.org/2000/01/rdf-schema#label>	"effector-mediated suppression of host PAMP-triggered immunity present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000071>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal sexual spore size"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000703>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to aureobasidin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000541>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to benznidazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000807>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to triclabendazole"@en	
